"","Total_cost_health","Total_cost_societ","effect_disc","cat","catvar"
"simulation_ 1",103311.036756663,3129513255.62881,59.7930488069,1,"age_cat"
"simulation_ 2",45201.1401977688,1363850301.36121,58.1256413528806,1,"age_cat"
"simulation_ 11",96606.2367983854,287961475.071861,-3.50394556795722,2,"age_cat"
"simulation_ 21",42165.3770914779,126192009.972244,0.194865656211658,2,"age_cat"
"simulation_ 12",103399.741354206,1844522315.85698,26.5942645350937,2,"GENDER"
"simulation_ 22",45123.4453517349,801764548.426454,32.6168785703086,2,"GENDER"
"simulation_ 13",101917.420477747,1572952414.84369,29.6948387038491,1,"GENDER"
"simulation_ 23",44706.247880007,688277762.906998,25.7036284387836,1,"GENDER"
