"","Total_cost_health","Total_cost_societ","effect_disc","cat","catvar"
"simulation_ 1",103239.198385932,3127398148.69825,60.0492446040471,1,"age_cat"
"simulation_ 2",45169.9822221277,1362875430.77819,58.8269679926374,1,"age_cat"
"simulation_ 11",96494.4827568994,287629521.678318,-3.53184788377753,2,"age_cat"
"simulation_ 21",42106.0561122771,126023283.767973,0.135266482496385,2,"age_cat"
"simulation_ 12",103289.468023573,1842512183.88885,28.0793002014298,2,"GENDER"
"simulation_ 22",45074.5465820352,800861915.454516,33.3182052100654,2,"GENDER"
"simulation_ 13",101882.279778589,1572515486.48771,28.4380965188398,1,"GENDER"
"simulation_ 23",44690.1533573322,688036799.091651,25.6440292650683,1,"GENDER"
