Age,Male,Female,Male_SE,Female_SE
190,0.494744343,0.449985524,0.01395353,0.017468818
191,0.494744343,0.449985524,0.01395353,0.017468818
192,0.494744343,0.449985524,0.01395353,0.017468818
193,0.494744343,0.449985524,0.01395353,0.017468818
194,0.494744343,0.449985524,0.01395353,0.017468818
195,0.494744343,0.449985524,0.01395353,0.017468818
196,0.494744343,0.449985524,0.01395353,0.017468818
197,0.494744343,0.449985524,0.01395353,0.017468818
198,0.494744343,0.449985524,0.01395353,0.017468818
199,0.494744343,0.449985524,0.01395353,0.017468818
