Age,Male,Female,Male_SE,Female_SE
157,0.88377363,0.833610884,0.021264624,0.026823175
158,0.88377363,0.833610884,0.021264624,0.026823175
159,0.88377363,0.833610884,0.021264624,0.026823175
160,0.88377363,0.833610884,0.021264624,0.026823175
161,0.88377363,0.833610884,0.021264624,0.026823175
162,0.88377363,0.833610884,0.021264624,0.026823175
163,0.88377363,0.833610884,0.021264624,0.026823175
164,0.88377363,0.833610884,0.021264624,0.026823175
165,0.88377363,0.833610884,0.021264624,0.026823175
166,0.88377363,0.833610884,0.021264624,0.026823175
167,0.88377363,0.833610884,0.021264624,0.026823175
168,0.88377363,0.833610884,0.021264624,0.026823175
169,0.88377363,0.833610884,0.021264624,0.026823175
170,0.88377363,0.833610884,0.021264624,0.026823175
171,0.88377363,0.833610884,0.021264624,0.026823175
172,0.88377363,0.833610884,0.021264624,0.026823175
173,0.88377363,0.833610884,0.021264624,0.026823175
174,0.88377363,0.833610884,0.021264624,0.026823175
175,0.88377363,0.833610884,0.021264624,0.026823175
176,0.88377363,0.833610884,0.021264624,0.026823175
177,0.88377363,0.833610884,0.021264624,0.026823175
178,0.88377363,0.833610884,0.021264624,0.026823175
179,0.88377363,0.833610884,0.021264624,0.026823175
180,0.88377363,0.833610884,0.021264624,0.026823175
181,0.88377363,0.833610884,0.021264624,0.026823175
182,0.88377363,0.833610884,0.021264624,0.026823175
183,0.88377363,0.833610884,0.021264624,0.026823175
184,0.88377363,0.833610884,0.021264624,0.026823175
185,0.88377363,0.833610884,0.021264624,0.026823175
186,0.88377363,0.833610884,0.021264624,0.026823175
187,0.88377363,0.833610884,0.021264624,0.026823175
188,0.88377363,0.833610884,0.021264624,0.026823175
189,0.88377363,0.833610884,0.021264624,0.026823175
190,0.88377363,0.833610884,0.021264624,0.026823175
191,0.88377363,0.833610884,0.021264624,0.026823175
192,0.88377363,0.833610884,0.021264624,0.026823175
193,0.88377363,0.833610884,0.021264624,0.026823175
194,0.88377363,0.833610884,0.021264624,0.026823175
195,0.88377363,0.833610884,0.021264624,0.026823175
196,0.88377363,0.833610884,0.021264624,0.026823175
197,0.88377363,0.833610884,0.021264624,0.026823175
198,0.88377363,0.833610884,0.021264624,0.026823175
199,0.88377363,0.833610884,0.021264624,0.026823175
