Age,Male,Female,Male_SE,Female_SE
147,0.028963851,0.021172181,0.001009837,5.76E-04
148,0.028963851,0.021172181,0.001009837,5.76E-04
149,0.028963851,0.021172181,0.001009837,5.76E-04
150,0.028963851,0.021172181,0.001009837,5.76E-04
151,0.028963851,0.021172181,0.001009837,5.76E-04
152,0.028963851,0.021172181,0.001009837,5.76E-04
153,0.028963851,0.021172181,0.001009837,5.76E-04
154,0.028963851,0.021172181,0.001009837,5.76E-04
155,0.028963851,0.021172181,0.001009837,5.76E-04
156,0.028963851,0.021172181,0.001009837,5.76E-04
157,0.028963851,0.021172181,0.001009837,5.76E-04
158,0.028963851,0.021172181,0.001009837,5.76E-04
159,0.028963851,0.021172181,0.001009837,5.76E-04
160,0.028963851,0.021172181,0.001009837,5.76E-04
161,0.028963851,0.021172181,0.001009837,5.76E-04
162,0.028963851,0.021172181,0.001009837,5.76E-04
163,0.028963851,0.021172181,0.001009837,5.76E-04
164,0.028963851,0.021172181,0.001009837,5.76E-04
165,0.028963851,0.021172181,0.001009837,5.76E-04
166,0.028963851,0.021172181,0.001009837,5.76E-04
167,0.028963851,0.021172181,0.001009837,5.76E-04
168,0.028963851,0.021172181,0.001009837,5.76E-04
169,0.028963851,0.021172181,0.001009837,5.76E-04
170,0.028963851,0.021172181,0.001009837,5.76E-04
171,0.028963851,0.021172181,0.001009837,5.76E-04
172,0.028963851,0.021172181,0.001009837,5.76E-04
173,0.028963851,0.021172181,0.001009837,5.76E-04
174,0.028963851,0.021172181,0.001009837,5.76E-04
175,0.028963851,0.021172181,0.001009837,5.76E-04
176,0.028963851,0.021172181,0.001009837,5.76E-04
177,0.028963851,0.021172181,0.001009837,5.76E-04
178,0.028963851,0.021172181,0.001009837,5.76E-04
179,0.028963851,0.021172181,0.001009837,5.76E-04
180,0.028963851,0.021172181,0.001009837,5.76E-04
181,0.028963851,0.021172181,0.001009837,5.76E-04
182,0.028963851,0.021172181,0.001009837,5.76E-04
183,0.028963851,0.021172181,0.001009837,5.76E-04
184,0.028963851,0.021172181,0.001009837,5.76E-04
185,0.028963851,0.021172181,0.001009837,5.76E-04
186,0.028963851,0.021172181,0.001009837,5.76E-04
187,0.028963851,0.021172181,0.001009837,5.76E-04
188,0.028963851,0.021172181,0.001009837,5.76E-04
189,0.028963851,0.021172181,0.001009837,5.76E-04
190,0.028963851,0.021172181,0.001009837,5.76E-04
191,0.028963851,0.021172181,0.001009837,5.76E-04
192,0.028963851,0.021172181,0.001009837,5.76E-04
193,0.028963851,0.021172181,0.001009837,5.76E-04
194,0.028963851,0.021172181,0.001009837,5.76E-04
195,0.028963851,0.021172181,0.001009837,5.76E-04
196,0.028963851,0.021172181,0.001009837,5.76E-04
197,0.028963851,0.021172181,0.001009837,5.76E-04
198,0.028963851,0.021172181,0.001009837,5.76E-04
199,0.028963851,0.021172181,0.001009837,5.76E-04
