measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,6,China,2,Female,16,55-59 years,976,Diabetes mellitus type 2,1,Number,2009,4611.172412309981,5289.588941720243,4041.930175890638
1,Deaths,6,China,3,Both,16,55-59 years,976,Diabetes mellitus type 2,1,Number,2009,9262.158240446914,10200.377942356934,8431.504127022421
1,Deaths,6,China,1,Male,16,55-59 years,976,Diabetes mellitus type 2,2,Percent,2009,0.011857907291435125,0.012766065124396276,0.011272522769588877
1,Deaths,6,China,2,Female,16,55-59 years,976,Diabetes mellitus type 2,2,Percent,2009,0.022463701704062332,0.023921018856593833,0.02121373019105808
1,Deaths,6,China,3,Both,16,55-59 years,976,Diabetes mellitus type 2,2,Percent,2009,0.015504551986061094,0.016547761747957444,0.014781410264389647
1,Deaths,6,China,1,Male,16,55-59 years,976,Diabetes mellitus type 2,3,Rate,2009,11.814123549363385,13.570358316776339,10.304708323292642
1,Deaths,6,China,2,Female,16,55-59 years,976,Diabetes mellitus type 2,3,Rate,2009,11.997631907817079,13.762777747585334,10.516542456312369
1,Deaths,6,China,3,Both,16,55-59 years,976,Diabetes mellitus type 2,3,Rate,2009,11.904776244063347,13.11068261372948,10.837125368336974
1,Deaths,6,China,1,Male,17,60-64 years,976,Diabetes mellitus type 2,1,Number,2009,6233.397378290952,7068.614744921118,5532.818734141296
1,Deaths,6,China,2,Female,17,60-64 years,976,Diabetes mellitus type 2,1,Number,2009,7048.316424814184,7891.763731895347,6252.679932285416
1,Deaths,6,China,3,Both,17,60-64 years,976,Diabetes mellitus type 2,1,Number,2009,13281.713803105138,14472.29408556944,12129.45945875953
1,Deaths,6,China,1,Male,17,60-64 years,976,Diabetes mellitus type 2,2,Percent,2009,0.012758304782924647,0.01357058993804128,0.012128932182578819
1,Deaths,6,China,2,Female,17,60-64 years,976,Diabetes mellitus type 2,2,Percent,2009,0.027405817882160552,0.029006119804431716,0.025796084692345275
1,Deaths,6,China,3,Both,17,60-64 years,976,Diabetes mellitus type 2,2,Percent,2009,0.017812589110487276,0.018888279657751292,0.016847556687118338
1,Deaths,6,China,1,Male,17,60-64 years,976,Diabetes mellitus type 2,3,Rate,2009,21.268038679801506,24.117758372211465,18.877699544050305
1,Deaths,6,China,2,Female,17,60-64 years,976,Diabetes mellitus type 2,3,Rate,2009,25.120846865370936,28.126970507266563,22.28512535619605
1,Deaths,6,China,3,Both,17,60-64 years,976,Diabetes mellitus type 2,3,Rate,2009,23.152429393875476,25.22782616391059,21.143841665911406
1,Deaths,6,China,1,Male,18,65-69 years,976,Diabetes mellitus type 2,1,Number,2009,6979.415760572198,7812.017534351567,6225.579095344696
1,Deaths,6,China,2,Female,18,65-69 years,976,Diabetes mellitus type 2,1,Number,2009,8227.364575658163,9202.347457648504,7348.123729059103
1,Deaths,6,China,3,Both,18,65-69 years,976,Diabetes mellitus type 2,1,Number,2009,15206.780336230377,16532.01689001118,13992.552968622622
1,Deaths,6,China,1,Male,18,65-69 years,976,Diabetes mellitus type 2,2,Percent,2009,0.013348545036807442,0.014143310229076453,0.012708112843904468
1,Deaths,6,China,2,Female,18,65-69 years,976,Diabetes mellitus type 2,2,Percent,2009,0.02744567229829844,0.029179012518771804,0.02569275360765214
1,Deaths,6,China,3,Both,18,65-69 years,976,Diabetes mellitus type 2,2,Percent,2009,0.01848803386641396,0.019541778596277103,0.017561666893571106
1,Deaths,6,China,1,Male,18,65-69 years,976,Diabetes mellitus type 2,3,Rate,2009,33.78345254379844,37.813612585453754,30.134550389357802
1,Deaths,6,China,2,Female,18,65-69 years,976,Diabetes mellitus type 2,3,Rate,2009,41.04045777929181,45.90395245439629,36.65455187821643
1,Deaths,6,China,3,Both,18,65-69 years,976,Diabetes mellitus type 2,3,Rate,2009,37.35737442215455,40.61298521174187,34.37447170360356
1,Deaths,6,China,1,Male,19,70-74 years,976,Diabetes mellitus type 2,1,Number,2009,9653.894751802101,10765.39501252382,8602.64404052789
1,Deaths,6,China,2,Female,19,70-74 years,976,Diabetes mellitus type 2,1,Number,2009,11565.331458903764,12856.034027873764,10379.9370892751
1,Deaths,6,China,3,Both,19,70-74 years,976,Diabetes mellitus type 2,1,Number,2009,21219.226210705863,23003.769433654586,19597.87782021074
1,Deaths,6,China,1,Male,19,70-74 years,976,Diabetes mellitus type 2,2,Percent,2009,0.013086292100844091,0.013760403955704215,0.012474860671547728
1,Deaths,6,China,2,Female,19,70-74 years,976,Diabetes mellitus type 2,2,Percent,2009,0.025041895003971783,0.026498594494762353,0.023587125116851293
1,Deaths,6,China,3,Both,19,70-74 years,976,Diabetes mellitus type 2,2,Percent,2009,0.01769109100771329,0.018636054683514043,0.016846350975607324
1,Deaths,6,China,1,Male,19,70-74 years,976,Diabetes mellitus type 2,3,Rate,2009,58.174653340898836,64.87258656041453,51.83978567608041
1,Deaths,6,China,2,Female,19,70-74 years,976,Diabetes mellitus type 2,3,Rate,2009,69.24441986188445,76.97216643967637,62.14717879065793
1,Deaths,6,China,3,Both,19,70-74 years,976,Diabetes mellitus type 2,3,Rate,2009,63.72740787118677,69.0869017897368,58.858034730226315
1,Deaths,6,China,1,Male,20,75-79 years,976,Diabetes mellitus type 2,1,Number,2009,10252.552036030913,11321.4833114307,9247.680003289192
1,Deaths,6,China,2,Female,20,75-79 years,976,Diabetes mellitus type 2,1,Number,2009,12721.617236597469,14161.158505428364,11390.591151748084
1,Deaths,6,China,3,Both,20,75-79 years,976,Diabetes mellitus type 2,1,Number,2009,22974.16927262843,24814.202177249237,21127.726340385954
1,Deaths,6,China,1,Male,20,75-79 years,976,Diabetes mellitus type 2,2,Percent,2009,0.012474912743900937,0.013143584756138178,0.011845353455245096
1,Deaths,6,China,2,Female,20,75-79 years,976,Diabetes mellitus type 2,2,Percent,2009,0.021330400328859963,0.022681970118482483,0.01976370377068653
1,Deaths,6,China,3,Both,20,75-79 years,976,Diabetes mellitus type 2,2,Percent,2009,0.01619914270624807,0.017007912950487168,0.015312774516107266
1,Deaths,6,China,1,Male,20,75-79 years,976,Diabetes mellitus type 2,3,Rate,2009,93.01438214191681,102.71206343961397,83.89786647550659
1,Deaths,6,China,2,Female,20,75-79 years,976,Diabetes mellitus type 2,3,Rate,2009,103.01898273102057,114.67631169762826,92.24040397806402
1,Deaths,6,China,3,Both,20,75-79 years,976,Diabetes mellitus type 2,3,Rate,2009,98.30055005155037,106.17357668815123,90.4000965585713
1,Deaths,6,China,1,Male,22,All ages,976,Diabetes mellitus type 2,1,Number,2009,57627.224625125324,63642.60511941789,51984.51511866978
1,Deaths,6,China,2,Female,22,All ages,976,Diabetes mellitus type 2,1,Number,2009,65110.7786278678,72077.12513027796,58457.594723026916
1,Deaths,6,China,3,Both,22,All ages,976,Diabetes mellitus type 2,1,Number,2009,122738.00325299313,132376.21525218996,113152.18341517221
1,Deaths,6,China,1,Male,22,All ages,976,Diabetes mellitus type 2,2,Percent,2009,0.010551737447274567,0.011072228903515875,0.010175469136676767
1,Deaths,6,China,2,Female,22,All ages,976,Diabetes mellitus type 2,2,Percent,2009,0.016966976564351137,0.01778022009753779,0.01581623700476643
1,Deaths,6,China,3,Both,22,All ages,976,Diabetes mellitus type 2,2,Percent,2009,0.01320039136578381,0.013793649633477989,0.01254202102007934
1,Deaths,6,China,1,Male,22,All ages,976,Diabetes mellitus type 2,3,Rate,2009,8.28032293076018,9.144659073410727,7.4695350224084125
1,Deaths,6,China,2,Female,22,All ages,976,Diabetes mellitus type 2,3,Rate,2009,9.81705409043719,10.867402463903224,8.813922694316942
1,Deaths,6,China,3,Both,22,All ages,976,Diabetes mellitus type 2,3,Rate,2009,9.030195940975497,9.73930754917075,8.324938978207484
1,Deaths,6,China,1,Male,30,80-84,976,Diabetes mellitus type 2,1,Number,2009,7439.28797240298,8154.7133689185775,6774.426311600033
1,Deaths,6,China,2,Female,30,80-84,976,Diabetes mellitus type 2,1,Number,2009,9235.695907220652,10296.62197071385,7996.870428166539
1,Deaths,6,China,3,Both,30,80-84,976,Diabetes mellitus type 2,1,Number,2009,16674.9838796236,18012.153774169637,14985.010932932975
1,Deaths,6,China,1,Male,30,80-84,976,Diabetes mellitus type 2,2,Percent,2009,0.010478753706728192,0.011091579172431162,0.009789125737308526
1,Deaths,6,China,2,Female,30,80-84,976,Diabetes mellitus type 2,2,Percent,2009,0.014190423904610876,0.015297673301190513,0.012433359710998916
1,Deaths,6,China,3,Both,30,80-84,976,Diabetes mellitus type 2,2,Percent,2009,0.012253763613208008,0.01299246635721287,0.01105218909334247
1,Deaths,6,China,1,Male,30,80-84,976,Diabetes mellitus type 2,3,Rate,2009,140.4468890575217,153.95346007158943,127.89491469387465
